drug_idx,drug_name,x,y,predicted_target_class
340,delta,-1.304611,-0.032160714,bacteria
341,demeclocycline,-1.2196829,-0.04791701,bacteria
342,demethyl,1.8727653,-0.009411484,human_cell
343,deprenyl,3.4705622,-0.22886443,human_cell
344,depreotide,-2.66897,0.07364848,fungus
345,desflurane,1.007818,-0.13259158,virus
346,desipramine,0.12496638,0.034098,human_cell
347,desloratadine,-1.0366352,-0.086167246,virus
348,desmopressin,0.5981195,0.09079035,human_cell
349,desogestrel,-1.5047605,0.05099842,bacteria
350,desonide,-1.1808581,-0.21501127,virus
351,desoximetasone,-0.75999403,-0.16318172,virus
352,desvenlafaxine,-0.3887365,-0.09727642,virus
353,dexamethasone,3.816344,-0.097093165,human_cell
354,dexmedetomidine,0.343992,-0.123193264,virus
355,dexpanthenol,-2.3582423,0.05177568,fungus
356,dexrazoxane,-0.24633574,-0.16142753,virus
357,dextran,-2.1707377,0.069309704,bacteria
358,dextromethorphan,-1.6836436,0.05235301,bacteria
359,dextrorphan,-1.0535104,0.015157551,bacteria
360,dfmo,0.22288966,0.23001613,human_cell
361,diane-35,-1.6667347,0.03445524,bacteria
362,diatrizoate,0.9255407,0.0018312633,human_cell
363,diazepam,2.1447947,-0.07688114,human_cell
364,diazoxide,0.17719817,0.30024672,human_cell
365,dichlorphenamide,-1.2462668,0.09004595,bacteria
366,diclofenac,3.7004335,-0.24967346,virus
367,dicloxacillin,-0.9090128,-0.047104493,bacteria
368,dicyclomine,0.63939595,0.16505256,human_cell
369,didanosine,-0.41040516,-0.09917757,virus
370,diethylenetriaminepentaacetic,-2.3709235,0.09052953,fungus
371,diethylpropion,-0.4906211,0.21821201,human_cell
372,diflorasone,-1.9050751,-0.09097901,fungus
373,diflunisal,-0.5551212,-0.066491246,virus
374,digoxin,0.23168826,0.28440577,human_cell
375,dihydrocodeine,-1.6028976,-0.06511888,fungus
376,dihydroergotamine,-0.11906862,-0.105425745,virus
377,diltiazem,1.7953627,-0.12098688,human_cell
378,dimenhydrinate,-2.2104316,0.054722637,fungus
379,dimercaprol,-1.7851405,0.08507241,bacteria
380,dimercaptosuccinic,-1.1628249,0.011406511,bacteria
381,diphenhydramine,-1.4220388,-0.0081110895,bacteria
382,dipivefrin,-2.2239995,0.17343733,bacteria
383,dipyridamole,0.48612237,-0.043725923,human_cell
384,disopyramide,0.2496388,-0.038546965,human_cell
385,disulfiram,-1.2638929,0.024036005,bacteria
386,dmso,-1.9421235,0.8529484,bacteria
387,dobutamine,-2.238801,0.049252614,fungus
388,docetaxel,2.719117,0.005025089,human_cell
389,dofetilide,-0.98315644,-0.03673187,fungus
390,dolasetron,0.4899423,-0.03992407,human_cell
391,dolutegravir,-1.5493937,-0.10044357,fungus
392,domperidone,-1.1831713,0.060549423,bacteria
393,donepezil,3.049176,-0.20355922,human_cell
394,dopamine,-1.5089247,0.046905756,bacteria
395,doripenem,-1.2175214,-0.11810118,virus
396,dorzolamide,1.2900436,-0.03271839,human_cell
397,dothiepin,-0.4550426,0.0008152425,bacteria
398,doxapram,-1.2212112,0.024481043,bacteria
399,doxazosin,1.4384425,-0.25801426,virus
